Date,strategy_rebalance_cum
2025-04-04,0.9890607473694558
2025-04-07,0.9818557838419926
2025-04-08,0.971685463563079
2025-04-09,1.0202947562388616
2025-04-10,0.9951715385683102
2025-04-11,1.002826189364673
2025-04-14,1.01040196210028
2025-04-15,1.0104326235377448
2025-04-16,1.0014931435052314
2025-04-17,1.0009780268820552
2025-04-18,1.0009780268820552
2025-04-21,0.986961622221898
2025-04-22,0.9998375612654687
2025-04-23,1.0081422175043948
2025-04-24,1.021049161669716
2025-04-25,1.0262745335986974
2025-04-28,1.0278082814694327
2025-04-29,1.032240820020669
2025-04-30,1.032055213044802
2025-05-01,1.0339125955501358
2025-05-02,1.038311091430835
2025-05-05,1.034781145527358
2025-05-06,1.0319861649825857
2025-05-07,1.0350650982974472
2025-05-08,1.0354484937013104
2025-05-09,1.03529471720526
