,lstm_forecast,lstm_ci_low,lstm_ci_high
2026-01-19,212.16101,194.12187270071496,228.04349327005434
2026-01-20,212.04427,198.68619957046718,233.0570337345749
2026-01-21,211.93,197.91447897088526,234.41133651826112
2026-01-22,211.81812,198.18797741921165,232.618099411906
2026-01-23,211.70865,197.84140460212626,236.84460273447303
2026-01-26,211.60144,193.5466267813122,232.05670357014156
2026-01-27,211.49649,192.38732822220462,231.62317294618754
2026-01-28,211.39377,193.1355049844108,232.88027700625327
2026-01-29,211.29323,193.80410299198232,233.12317159085808
2026-01-30,211.19476,193.13964683035684,235.29484629378132
2026-02-02,211.0984,195.41599129043024,235.531021188637
2026-02-03,211.00403,195.28810457175598,230.12185534203485
2026-02-04,210.91162,190.5689422998169,229.2689837820223
2026-02-05,210.82117,201.59365074417872,231.24712673413572
2026-02-06,210.73262,192.49544796194132,231.0444772130926
2026-02-09,210.64589,196.42571705238774,235.3022277006557
2026-02-10,210.56097,190.7800093016769,236.6622092287733
2026-02-11,210.47787,192.50456253695504,228.02002700244017
2026-02-12,210.39648,197.79761856770136,237.21456454401482
2026-02-13,210.31676,197.15430163144575,236.02705264709775
2026-02-16,210.23868,192.0256224562843,227.9184513286102
2026-02-17,210.16226,196.57136159228025,227.95392683453733
2026-02-18,210.08742,197.5687126647195,234.18960962140963
2026-02-19,210.0141,192.04591589949135,227.80167162269663
2026-02-20,209.94232,195.8324699957006,238.64457522843057
2026-02-23,209.87201,191.8679116772674,236.81456631177065
2026-02-24,209.80319,195.1429590694668,226.82841270186807
2026-02-25,209.73576,196.11782566761775,236.68366449199715
2026-02-26,209.66972,193.7856125990708,230.46375685116524
2026-02-27,209.60509,193.63538883112318,230.525020674782
2026-03-02,209.54173,194.3263342005467,227.15349794456375
2026-03-03,209.47972,197.3613496025079,227.347370045546
2026-03-04,209.41899,187.9938116630447,229.885499567128
2026-03-05,209.35948,192.02258404738387,233.81750433179255
2026-03-06,209.30124,197.49896609989284,231.15657231362988
2026-03-09,209.24414,197.94615492055647,226.5218616188293
2026-03-10,209.18825,197.79136140560541,225.01106956593094
2026-03-11,209.13351,195.42086182655927,237.01111652957442
2026-03-12,209.07985,193.19544680274691,227.81140553009897
2026-03-13,209.02733,194.29749957158498,231.62616771265448
2026-03-16,208.97589,190.8938367012153,233.6692654383554
2026-03-17,208.9255,190.9670816145886,237.3735417032528
2026-03-18,208.87614,196.0022451455732,229.8404397808692
2026-03-19,208.82777,195.8618466011441,229.84873168817873
2026-03-20,208.78044,197.44289776214367,229.82690054520532
2026-03-23,208.73402,196.27836895415115,229.88536536005097
2026-03-24,208.68861,196.48272434755037,233.9673649555472
2026-03-25,208.64406,191.59357963995768,230.7974772887801
2026-03-26,208.60048,197.5263629403847,226.48149300509726
2026-03-27,208.55775,193.1748216908786,228.7188021456529
2026-03-30,208.51593,192.63151933230597,225.4712619232871
2026-03-31,208.47491,196.4783517193795,227.71467058797484
2026-04-01,208.43474,197.50696081227588,233.61258471529888
2026-04-02,208.3954,192.6637022701514,233.39318583756332
2026-04-03,208.35686,191.00448496964165,226.7309085666599
2026-04-06,208.31912,189.2472247135128,223.54247191382237
2026-04-07,208.28214,194.0632089529757,229.40926156936695
2026-04-08,208.2459,195.38364326845294,232.69043251413092
2026-04-09,208.21042,190.1319737493577,229.65726908047665
2026-04-10,208.17561,197.68760887902081,224.07348267460165
2026-04-13,208.14154,193.85787902071954,235.04933082419805
2026-04-14,208.1082,190.20882160468676,227.7075189593765
2026-04-15,208.07547,195.25462162169867,236.5642989804602
2026-04-16,208.04343,190.08451032555087,223.8775700392565
2026-04-17,208.01205,197.85101883579173,227.06711225554216
2026-04-20,207.9813,196.59310471995045,233.18542953878688
2026-04-21,207.95114,197.67634771060204,232.4563455696429
2026-04-22,207.92165,195.98935055854238,230.3100363837953
2026-04-23,207.89272,189.8207774828336,230.77773038347576
2026-04-24,207.86438,194.54791466132033,229.82374301274368
2026-04-27,207.83664,192.51271147546314,233.58120533264045
2026-04-28,207.80942,199.6338586943789,230.34890971451478
2026-04-29,207.78278,193.4949688428245,231.9178632909874
2026-04-30,207.75668,197.9810360464352,233.44120506544212
